INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-04	2-04bio	1.6500000000000001	1	25.737173228148762	276.2116904553691	326.6556230464091	225.76775786432904	0.18462712711117837	0.1509090815819703	0.21834517264038644	solo
2-04	2-04bio	1.7000000000000002	1	24.044881719548485	248.742297293468	295.86939947630856	201.61519511062744	0.16626586537526816	0.13476487614940225	0.19776685460113408	solo
2-04	2-04bio	1.75	1	22.363440319543678	224.37098139996192	268.20251899667846	180.5394438032454	0.14997543961552254	0.1206772920606312	0.1792735871704139	solo
2-04	2-04bio	1.8	1	20.732130521572017	202.86429248958447	243.49852163464922	162.23006334451972	0.13559980554786014	0.10843882269060906	0.1627607884051112	solo
2-04	2-04bio	1.85	1	19.179709322193464	183.9589189105586	221.55045841600491	146.36737940511227	0.12296295876883823	0.09783578934623058	0.1480901281914459	solo
2-04	2-04bio	1.9000000000000001	1	17.725020092792114	167.3814605849881	202.12186159210944	132.64105957786677	0.11188215150680848	0.08866075771981564	0.13510354529380134	solo
2-04	2-04bio	1.9500000000000002	1	16.378417773192535	152.86331044309304	184.9644194023011	120.76220148388498	0.10217783976226288	0.08072061789576426	0.1236350616287615	solo
2-04	2-04bio	2	1	15.143540981146174	140.15076024898917	169.83155517044202	110.46996532753633	0.09368043830642807	0.07384101772401307	0.11351985888884307	solo
2-04	2-04bio	2.0500000000000003	1	14.01908873991104	129.0110161106362	156.48792513693286	101.53410708433957	0.08623434160564405	0.0678680560691524	0.10460062714213572	solo
2-04	2-04bio	2.1	1	13.000396799426271	119.23503943205162	144.7153489436569	93.75472992044635	0.0796998227882206	0.0626681166526997	0.09673152892374152	solo
2-04	2-04bio	2.15	1	12.08072201373455	110.63812724837229	134.3159073025322	86.96034719421237	0.07395342155558969	0.05812657331262485	0.08978026979855452	solo
2-04	2-04bio	2.2	1	11.252220710431475	103.05901804193721	125.1129653804786	81.00507070339582	0.06888734648635907	0.05414591055414591	0.08362878241857222	solo
2-04	2-04bio	2.25	1	10.506650912012255	96.35813515800137	116.95079254368031	75.76547777232244	0.06440830088937538	0.0506436294287479	0.07817297235000287	solo
