id	p	v	d	j
2-03	0.0	IGHV3-01*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-02*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV4-01*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-04*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-03*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-05*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV5-01*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-04*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV6-01*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-06*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV4-02*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-05*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-07*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-02*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV4-01*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV5-01*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-03*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-02*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-01*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-01*02	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-01*01	IGHD1-01*01	IGHJ1-02*21
2-03	1.8535138680337572e-10	IGHV1-02*01	IGHD1-01*01	IGHJ1-02*21
2-03	7.216775744692332e-08	IGHV2-01*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-03*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV3-01*01	IGHD1-01*01	IGHJ1-02*21
2-03	3.805933377601278e-17	IGHV2-02*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV4-01*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-04*01	IGHD1-01*01	IGHJ1-02*21
2-03	1.1034068694115095e-08	IGHV2-03*01	IGHD1-01*01	IGHJ1-02*21
2-03	8.675348591337331e-05	IGHV1-05*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV5-01*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV2-04*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV6-01*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-06*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV4-02*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV2-05*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-07*01	IGHD1-01*01	IGHJ1-02*21
2-03	0.0008369851692169904	IGHV2-02*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV4-01*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV5-01*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-03*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-02*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV2-01*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-01*02	IGHD1-01*01	IGHJ1-02*21
2-03	0.0	IGHV1-01*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-02*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-01*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-03*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV3-01*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-02*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV4-01*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-04*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-03*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-05*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV5-01*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-04*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV6-01*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-06*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV4-02*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-05*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-07*01	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-02*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV4-01*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV5-01*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-03*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-02*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV2-01*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-01*02	IGHD1-01*01	IGHJ1-03*22
2-03	0.0	IGHV1-01*01	IGHD1-01*01	IGHJ1-04*01
2-03	0.0	IGHV1-02*01	IGHD1-01*01	IGHJ1-04*01
